Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
276,93.66,0.33,82.71,1.59,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
277,94.81,0.25,83.16,1.4,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
278,98.23,0.2,82.26,1.48,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
279,98.93,0.09,81.7,1.29,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
280,84.82,0.23,83.27,1.68,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
281,87.12,0.32,83.16,1.77,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
282,89.73,0.29,83.05,1.69,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
283,92.14,0.12,82.82,1.35,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
284,93.66,0.33,82.71,1.59,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
285,94.81,0.25,83.05,1.45,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
286,98.23,0.2,82.38,1.53,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
287,98.93,0.09,81.7,1.29,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
288,84.54,0.36,83.05,1.39,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
289,86.48,0.32,83.27,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
290,89.25,0.27,83.05,1.36,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
291,91.16,0.27,82.49,1.32,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
292,92.9,0.22,82.71,1.4,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
293,94.42,0.38,82.49,1.24,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
294,98.63,0.15,81.93,1.21,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
295,98.93,0.09,81.93,1.3,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
296,84.32,0.35,83.16,1.39,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
297,86.2,0.46,82.6,1.42,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
298,88.61,0.31,83.05,1.37,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
299,90.88,0.28,83.27,1.75,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
300,92.2,0.18,83.27,1.81,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
301,93.55,0.2,83.05,1.74,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
302,95.88,0.06,80.69,1.81,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
303,95.88,0.06,80.91,1.94,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
304,84.57,0.36,83.05,1.39,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
305,86.45,0.32,83.27,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
306,89.25,0.28,82.94,1.32,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
307,91.25,0.25,82.38,1.28,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
308,92.93,0.24,82.6,1.29,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
309,94.47,0.38,82.38,1.21,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
310,98.6,0.14,82.15,1.19,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
311,98.93,0.09,82.15,1.31,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
312,84.57,0.36,83.05,1.39,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
313,86.45,0.32,83.27,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
314,89.25,0.28,82.94,1.32,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
315,91.25,0.25,82.38,1.28,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
316,92.96,0.25,82.6,1.29,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
317,94.47,0.38,82.49,1.26,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
318,98.6,0.14,82.38,1.28,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
319,98.93,0.09,82.26,1.35,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
320,84.48,0.28,83.16,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
321,86.39,0.38,83.16,1.56,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
322,89.28,0.47,83.5,1.43,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
323,91.33,0.19,83.16,1.34,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
324,92.85,0.15,83.05,1.14,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
325,94.14,0.27,82.83,1.26,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
326,98.6,0.14,81.48,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
327,98.93,0.09,81.36,1.29,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
328,84.29,0.29,83.05,1.39,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
329,85.86,0.23,83.27,1.61,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
330,88.3,0.44,82.82,1.4,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
331,90.6,0.27,82.94,1.69,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
332,92.14,0.15,83.27,1.74,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
333,93.35,0.24,82.82,1.84,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
334,95.96,0.07,81.59,1.8,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
335,95.96,0.07,81.81,1.89,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
336,84.48,0.28,83.16,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
337,86.39,0.38,83.16,1.56,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
338,89.28,0.47,83.39,1.48,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
339,91.3,0.21,83.16,1.45,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
340,92.9,0.12,83.27,1.2,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
341,94.16,0.29,82.71,1.33,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
342,98.6,0.14,81.7,1.55,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
343,98.93,0.09,81.93,1.49,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
344,84.48,0.28,83.16,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
345,86.39,0.38,83.16,1.56,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
346,89.31,0.46,83.39,1.48,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
347,91.3,0.21,83.16,1.45,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
348,92.87,0.12,83.27,1.2,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
349,94.16,0.29,82.71,1.33,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
350,98.6,0.14,81.81,1.62,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
351,98.93,0.09,82.04,1.56,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
352,84.34,0.38,83.27,1.4,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
353,85.94,0.21,83.5,1.56,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
354,88.75,0.34,82.82,1.59,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
355,91.19,0.22,82.71,1.24,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
356,93.29,0.26,82.82,1.35,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
357,94.42,0.26,83.39,1.41,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
358,98.79,0.12,82.38,1.33,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
359,98.93,0.09,81.82,1.25,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
360,83.98,0.33,83.5,1.48,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
361,85.86,0.33,82.6,1.7,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
362,88.1,0.49,83.16,1.5,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
363,90.66,0.22,82.71,1.83,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
364,92.42,0.19,83.05,1.64,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
365,93.29,0.35,82.83,1.61,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
366,95.96,0.07,81.14,1.54,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
367,95.96,0.07,81.36,1.69,"{'data_prep__extract_deck': True, 'data_prep__extract_sexpclassage': True, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
